sentence,word,meaning
" Niech nas Bóg błogosławi, broni od wszelkiego zła i doprowadzi do życia wiecznego[2].",zło, czyn lub wydarzenie wyrządzające komuś krzywdę
 Pomalowałem se ściany zajebiście zieloną farbą.,zajebiście, pot. wulg.[1][2][3][4] bardzo intensywnie[5][6]
" Podajcie jakiś zajebiście, ale to zajebiście mocno wciągający serial. Tak, żeby odpalać odcinek za odcinkiem[8].",zajebiście, pot. wulg.[1][2][3][4] bardzo intensywnie[5][6]
 Ale zajebiście… W końcu weekend!,zajebiście," pot. wulg.[1][2][3][4] wspaniale, świetnie[7]"
" Żałuj, że tam nie byłeś. Było zajebiście.",zajebiście," pot. wulg.[1][2][3][4] wspaniale, świetnie[7]"
 Mój chłopak jest Angolem.,Angol, lekcew. Anglik
" Już z wielogodzinnym wyprzedzeniem wiedziałem, że dzisiaj będę mieć przejebane w pracy, i właśnie pan Mariański mi to chyba zaczął unaoczniać.",mieć przejebane,
" Zastanawiam się, czy w tym „mieście” nie ma ciekawszych tematów dla prasy od kilku skradzionych klamek w sraczu starostwa.[1]",sracz, grub. ubikacja
 Prosięta żarły aż miło.,żreć, o zwierzęciu: jeść[1]
 Żryj to szybciej!,żreć," posp. obraź. o człowieku: jeść chciwie, łapczywie lub niechlujnie[1][2]"
 Jedynym źródłem ciepła w starożytnych mieszkaniach był gorący żar w specjalnych misach.[1],żar," tlące się, rozgrzane do czerwoności węgle lub drwa"
" Kurwa, kto mi zajebał temperówkę?!",zajebać, wulg. ukraść
" Jak cię ruszy, to mu zajeb w ryj!",zajebać, wulg. uderzyć
" O kurwa, zajebaliśmy człowieka.",zajebać, wulg. zabić
" Nie wkurwiaj mnie, bo cię zajebię!",zajebać, wulg. zabić
 Półki w pracowni czarownika wypełnione były zakurzonymi słoikami z czymś zielonkawym.,słoik," szklany, najczęściej walcowaty pojemnik z zakrętką lub nakrywką służący do przechowywania substancji płynnych lub półpłynnych"
 Sabina zakupiła słoik majonezu i dwa słoiki dżemu.,słoik," szklany, najczęściej walcowaty pojemnik z zakrętką lub nakrywką służący do przechowywania substancji płynnych lub półpłynnych"
 — Ile oliwek mam dodać do sałatki? — Około pół słoika.,słoik, zawartość lub pojemność słoika (1.1)
 Marta jest słoikiem. Tak rodowici mieszkańcy stolicy nazywają przyjezdnych[1].,słoik, gw. (Warszawa) osoba tymczasowo mieszkająca w Warszawie
" Słoiki przy okazji wszystkich świąt, dni wolnych i urlopów jadą do domu, by potem wrócić z torbami pełnymi jedzenia.",słoik, gw. (Warszawa) osoba tymczasowo mieszkająca w Warszawie
" - Nie są to trudne wiersze, ale też i nie rymy częstochowskie - mówi pani Zofia. - Tworzę lirykę osobistą, przede wszystkim o przemijaniu[1].",rym częstochowski, zob. częstochowski rym
" O kurwa, ale się najebałem, chyba nie dojdę do domu.",najebać, + D./+ B.
 Kto mi najebał tyle pieprzu do zupy?!,najebać, Kto mi najebał tyle pieprzu do zupy?!
" Słyszałeś? Wczoraj najebali Wieśkowi, bo podskakiwał!",najebać," Słyszałeś? Wczoraj najebali Wieśkowi, bo podskakiwał!"
" Chujowy dzień dzisiaj miałem, nic mi nie wychodziło.",chujowy," wulg. kiepski, marny, do niczego"
" Cześć, jestem Pepik, a to mój brat Honza.",Pepik,
" Pod hotelem, z autobusu wysiadła cała wycieczka Pepików.",Pepik,
" Precz, Pepicy, z marmuladóm, Polocy ze szpekym jadóm[1] (hasło plebiscytowe).",Pepik,
" Nie rozumiem, jak mogłeś to spieprzyć!",spieprzyć, pot. źle coś wykonać
 - Czemu nie ma muzyki? - Pewnie radio się spieprzyło.,spieprzyć, pot. źle coś wykonać
 Spieprzaj pan!,spieprzać, pot. uciekać
" Ktoś nas zobaczył, spieprzamy stąd!",spieprzać, pot. uciekać
 Bywają nowotwory łagodne oraz złośliwe.,nowotwór," med. choroba rozrostowa ludzi, zwierząt i roślin polegająca na niekontrolowanej proliferacji komórek wywodzących się z danej tkanki; zob. też nowotwór w Wikipedii"
" Wiele kobiet, które doskonale radzą sobie w życiu, uważa, że faceci są coraz bardziej bezradni, zniewieściali[2].",zniewieściały," o mężczyźnie: taki, który ma kobiece cechy[1]"
" Słup reklamowy to słup, na którym znajdują się reklamy.",słup," wysoki, pionowy element konstrukcyjny; zob. też słup w Wikipedii"
" W Rzeszowie i okolicach stworzyli sieć firm słupów – zarejestrowanych na podstawionych ludzi – które brały materiały od producentów i hurtowników, deklarując późniejszą zapłatę[1].",słup," pot. firma (czasem też osoba, na którą jest ona zarejestrowana), założona w celu uwiarygodnienia nielegalnych interesów innej spółki, np. wykonywania fikcyjnych przelewów, zaciągania kredytów itp."
 Rzekome „firmy” szukają słupów – osób wykorzystywanych przez cyberprzestępców jako narzędzia do prania pieniędzy skradzionych z kont klientów banków internetowych[2].,słup," pot. firma (czasem też osoba, na którą jest ona zarejestrowana), założona w celu uwiarygodnienia nielegalnych interesów innej spółki, np. wykonywania fikcyjnych przelewów, zaciągania kredytów itp."
" Fioletowe strony są trochę zbyt oczojebne, ale ta akurat ma trochę mdły odcień tego koloru.",oczojebny," wulg. taki, który rzuca się w oczy"
 Złożyliśmy się na jabola i obaliliśmy go w parku.,jabol, pot. tanie wino owocowe; zob. też jabol w Wikipedii
" Tam, na końcu budynku, jest taka z dupy wyjęta drabina – wskazał na południową ścianę. – Pordzewiała, paru szczebli brakuje, ale jakoś się jeszcze trzymie. Wlazłem po niej na pierwsze piętro[2].",z dupy,
" Ach, nie ma to jak wyzwiska od takiego gówniarza jak ty. Jak ja uwielbiam te dyskusje z wami i te wasze argumenty z dupy […][3]",z dupy,
 Ty nędzna kreaturo! Jak mogłeś mnie zdradzić?,kreatura," ktoś podły, bez skrupułów, kto budzi odrazę swoim zachowaniem"
" Ta sekretarka, zołza jedna, znów zepsuła czajnik, żebyśmy nie mogli robić kawy.",zołza," obraź. kobieta nieuprzejma, kłótliwa, trudna w obyciu"
 Jodłech harynki w cebulowej zołzie.,zołza, reg. (Górny Śląsk) kulin. sos[2]
 Jakiś menel stoi pod sklepem i pije wino.,menel, abstynent
" W Wietnamie było ciężko, jakby spod ziemi zjawiało się nagle pełno żółtków i nasze naprowadzanie było bezużyteczne.",żółtek, pogard. ktoś rasy żółtej
" Powstało nowe obraźliwe słownictwo stworzone przez polskich imigrantów na określenie mieszkańców Bliskiego Wschodu, Afryki Północnej i Azji Południowej – „ciapki”, „ciapaci”, „beżowi” (…), „szmatogłowi”, „muzole” oraz „muslimy”[4].",ciapaty,
" Jedliśmy ciapaty, jakie mi na drogę w zawiniątku przygotowała matka, popijali ugniatając palcami i ssąc dojrzałe owoce mango[5].",ciapaty,
" Sonam, żeby zaoszczędzić chleb, często piecze nam „ciapaty"", czyli podpłomyki[6].",ciapaty,
" Powstało nowe obraźliwe słownictwo stworzone przez polskich imigrantów na określenie mieszkańców Bliskiego Wschodu, Afryki Północnej i Azji Południowej – „ciapki”, „ciapaci”, „beżowi” (…), „szmatogłowi”, „muzole” oraz „muslimy”[4].", ciapaty ,
" Jedliśmy ciapaty, jakie mi na drogę w zawiniątku przygotowała matka, popijali ugniatając palcami i ssąc dojrzałe owoce mango[5].", ciapaty ,
" Sonam, żeby zaoszczędzić chleb, często piecze nam „ciapaty"", czyli podpłomyki[6].", ciapaty ,
" Kacapy nie umieją docenić uroków picia wina, więc chleją wódkę.",kacap," pot. pogard. Rosjanin, dawniej także obywatel Związku Radzieckiego"
" I znowu zgubiłeś klucze, ty kacapie!",kacap, gw. lwow. głupiec
 Ubrania były ujebane betonem.,ujebać, wulg. pobrudzić
 Ktoś ujebał klamkę od drzwi.,ujebać," wulg. urwać, oderwać"
 Komary mnie ujebały w nos.,ujebać," wulg. zranić (ugryźć, ukąsić, podrapać itp.)"
" Ujebała mnie, bo nie odpowiedziałem na trzy z dziesięciu pytań.",ujebać," wulg. eduk. sprawić, że ktoś nie zdał egzaminu"
 Poszły na poprawkę. Znowu je ujebał. Chociaż nie powinno go być na poprawce.[1].,ujebać," wulg. eduk. sprawić, że ktoś nie zdał egzaminu"
 Śruba ujebała się przy kluczu.,ujebać, wulg. urwać się
" Ale się ujebałem, taki był dziś młyn w pracy.",ujebać, wulg. ciężko się napracować
 Kurewstwo to najstarszy zawód świata.,kurewstwo, wulg. prostytucja lub rozwiązłość seksualna
 Kurewstwo już stoi na ulicy.,kurewstwo, wulg. prostytutki jako zbiorowość
" Jak mógł pomagać tym draniom, to zwykłe kurewstwo!",kurewstwo, wulg. postępowanie w najwyższym stopniu naganne
 To kurewstwo znowu nie działa!,kurewstwo, wulg. rzecz wzbudzająca irytację lub sprawiająca kłopot
" Felek, dymaj po wódę![1]",dymać, pot. iść prędko
 Jaś dyma Małgosię.,dymać, wulg. pot. uprawiać seks
 Ten oszust dyma wszystkich na kasę.,dymać, wulg. pot. oszukać kogoś
 Dymamy się każdego wieczoru.,dymać, wulg. pot. uprawiać seks
 Jaś dyma się z Małgosią.,dymać, wulg. pot. uprawiać seks
" Czego tu szukasz, sukinsynu? Wypieprzaj stąd!",sukinsyn, wulg. obraźliwie do mężczyzny lub o mężczyźnie
 Niektórzy pracownicy mają wyjebane na swoją pracę.,mieć wyjebane, mieć wyjebane + na + B. (coś / kogoś)
" Kochanie, a chcesz dostać wpierdol?",wpierdol , wulg. dotkliwe pobicie
 Jakiś sukinsyn zapierdolił mojej starej torebkę w autobusie!,zapierdalać, wulg. kraść
" Nie dość, że zapierdalam w tej robocie po 12 godzin dziennie, to jeszcze muszę przyjść w niedzielę!",zapierdalać, wulg. ciężko pracować
 Ale Henio zapierdala motocyklem po lesie!,zapierdalać, wulg. szybko się przemieszczać
 Ale ten nowy zapierdala starą rybą.,zapierdalać, wulg. śmierdzieć
" Wyobraź sobie, że ona te wszystkie świetne ciuchy kupiła w lumpeksie.",lumpeks, pot. sklep z używaną odzieżą[1]
" Marzeniem jest wszystkich miasteczkowych ptaszników zastawiać w tym zakątku sidła na wilgi, kraski, dzwońce, drozdy, jemiołuchy – dostęp wszakże do pustelni równie trudny od strony wody, jak lądu[1].",dzwoniec," Marzeniem jest wszystkich miasteczkowych ptaszników zastawiać w tym zakątku sidła na wilgi, kraski, dzwońce, drozdy, jemiołuchy – dostęp wszakże do pustelni równie trudny od strony wody, jak lądu[1]."
" W sprawach zagranicznych Mao jest większym lewakiem niż Czou, w sprawach wewnętrznych jest wprost przeciwnie.[2]",lewak, polit. pejor. osoba o skrajnie lewicowych poglądach
 Pudzian to ma parcie na szkło! Wystąpi w kolejnym show[1].,parcie na szkło, chęć zaistnienia w mediach
 Ale z ciebie zjeb!,zjeb,
" Proszę cię, tylko nie zjeb znów tego.",zjeb,
 (On) dosięga sufitu czubkami palców.,czubek," szpiczaste, ostre zakończenie czegoś"
 Anka wrzuciła na fejsa kolejną samojebkę.,samojebka,
 Pajace umilali czas wielu władcom.,pajac, komiczna postać w dawnej krotochwili
 Ale z ciebie pajac!,pajac," przen. pogard. ktoś zachowujący się niepoważnie, bez godności"
" W nędznej szopie urodzony, / Żłób Mu za kolebkę dano[1].",żłób, roln. skrzynia na paszę dla bydła i koni
 Ten obraz to zwykła szmira.,szmira," coś o niskiej lub żadnej wartości artystycznej, np.: utwór literacki, przedstawienie teatralne, obraz"
" Partyzant opowiadał, jak zabił dwudziestu szkopów.",szkop, pogard. Niemiec; zob. też szkop w Wikipedii
 W chuj ludzi w tym autobusie! Nie ma co marzyć o miejscu siedzącym.,w chuj," wulg. bardzo dużo, całe mnóstwo"
 Po 1968 roku państwa zachodniej Europy zmagały się z falą lewackiego terroryzmu politycznego.,lewacki, polit. pejor. skrajnie lewicowy
 Twój nowy samochód to szajs.,szajs, pot. wulg. coś byle jakiego
" Chyba nigdy nie zapomnę treningu bodajże w listopadzie, kiedy było ciemno jak w dupie u Murzyna, okropnie wiało, lało, a ja uciekałam na pobocze przed tirem…[1]",ciemno jak w dupie u Murzyna, wulg. żart. bardzo ciemno
" Bo wszystko się może zdarzyć, jeżeli tolerowani na co dzień naziole potraktują przemarsz Rosjan, jak mają w zwyczaju traktować Paradę Równości[1].",naziol,
" Taki z ciebie fachowiec, jak z koziej dupy trąba.",jak z koziej dupy trąba," ni w pięć, ni w dziewięć"
 Jonatan popijał kawę i gryzł koszerną czekoladę przyniesioną w przetłuszczonym papierze[1].,koszerny,
 Ta nauczycielka to straszliwy oszołom; drwi sobie z uczniów i do tego co lekcję robi trudne kartkówki.,oszołom, pot. osoba zachowująca się nienormalnie[1]
" Jak będziesz w oszołomie, to nie zapomnij kupić kilo ziemniaków.",oszołom, pot. sklep Auchan
" Niektóre objawy są tak oczywiste, że dobry lekarz wcale nie potrzebuje pierdyliarda wizyt, żeby postawić diagnozę[1].",pierdyliard,
" Co myślicie o dziewczynie, która ciągle truje dupę swojemu byłemu?[2]",truć dupę," wulg. przeszkadzać komuś, ciągle o czymś mówiąc, natrętnie zajmować czyjąś uwagę[1]"
" Jak będzie jechał od rowu do rowu, to go gliny złapią, nie ma chuja we wsi.",nie ma chuja we wsi, zob. nie ma chuja[1]
" Myślisz, że ja będę za ciebie tyrał, a ty potem zgarniesz premię?! O, nie ma chuja we wsi!",nie ma chuja we wsi, zob. nie ma chuja[1]
" Chciałam ci przychylić kompanijnego nieba. Miałbyś jak w puchu. Ale nie ma chuja we wsi, Romuś![2]",nie ma chuja we wsi, zob. nie ma chuja[1]
" Jak tatuś zrobi dzióbek, to nie ma chuja we wsi![3]",nie ma chuja we wsi, zob. nie ma chuja[1]
 Miała pani skrobankę?,skrobanka, pot. ginek. zabieg łyżeczkowania macicy jako metoda aborcji
" W pierwszej kategorii punktowane były tradycyjne podkarpackie potrawy wielkanocne, w drugiej podziwiano kunszt wykonania pisanek, skrobanek i oklejanek.[2]",skrobanka, gw. etn. jednobarwne wielkanocne jajo z wzorem wydrapanym ostrym narzędziem[1]
 W brukowcu ukazały się zdjęcia premiera podejrzanego na urlopie przez paparazzich.,brukowiec,
 W tej dzielnicy mieszka sama hołota.,hołota," pogard. grupa osób, które zachowują się w sposób niekulturalny, chamski, ordynarny, prostacki"
" Nie mów, że pozwolisz mu wsiąść za kierownicę. Przecież on jest totalnie najebany, nie może jechać samochodem!",najebany, imiesłów przymiotnikowy bierny od: najebać
" Ale z niego jebaka, wydupczył już wszystkie laski w naszej firmie!",jebaka," Ale z niego jebaka, wydupczył już wszystkie laski w naszej firmie!"
" Czy zawsze byłaś taka, pierdolona jebaka?[1]",jebaka," Czy zawsze byłaś taka, pierdolona jebaka?[1]"
 W dawnych czasach wieśniacy płacili rycerzom czynsz.,wieśniak, człowiek mieszkający na wsi
 Stefan ubiera się niemodnie; to wieśniak.,wieśniak," pot. pogard. prostak, człowiek prymitywny"
" Przejeżdżaliśmy przez jakąś wiochę, gdy zabrakło nam paliwa.",wiocha,
 Janek chla już od pięciu dni.,chlać," pot. posp. pić, zwłaszcza alkohol"
" Od tygodnia tylko chlejesz. Opamiętaj się wreszcie, stary!",chlać," pot. posp. pić, zwłaszcza alkohol"
 W trakcie gotowania należy usuwać pojawiającą się szumowinę.,szumowina, kulin. piana zbierająca się na powierzchni gotowanych płynów
 W parku w centrum miasteczka zbierały się najgorsze szumowiny.,szumowina, pot. osoba o podłym charakterze
" Szef znów mnie za ciebie zjebał, nierobie!",zjebać," wulg. zrugać, zelżyć kogoś"
" Zocha, ten cholerny kot zjebał twoją doniczkę z parapetu.",zjebać, wulg. zrzucić coś
 Pierdolona siostra zjebała mi nowy odtwarzacz.,zjebać, wulg. zepsuć coś
" Stary, zjebałeś sprawę z tą dupą.",zjebać," wulg. zrobić coś źle, wbrew zasadom"
" Kurwa, znowu ten kundel zjebał się na środku dywanu.",zjebać, wulg. oddać mocz lub kał
 Ale znów śmierdzi! Kto się zjebał tym razem?,zjebać, wulg. puścić wiatry
" Patrz, jak ten palant zjebał się ze schodów.",zjebać, wulg. spaść
" Nie pojechałem do pracy, bo znowu zjebał mi się polonez.",zjebać, wulg. zepsuć się
 Stolarz rżnie deskę.,rżnąć, ciąć na części[1]
 Te buty strasznie rżną mnie w pięty.,rżnąć, pot. wpijać się boleśnie[1]
" Nie rżnij głupa, tylko mów, jak jest.",rżnąć, pot. udawać lub naśladować kogoś[1]
" — Nie wiem, jak Ci to powiedzieć… — Rżnij prosto z mostu.",rżnąć," pot. mówić coś wprost, nie zważając na okoliczności[1]"
 Sąsiad rżnie sąsiadkę.,rżnąć, wulg. o mężczyźnie: uprawiać seks[1] w roli aktywnej
 Pański pies znowu rżnie w moim ogrodzie!,rżnąć, posp. oddawać kał[1]
" Małgosia tak rżnie na skrzypcach, że w całym bloku słychać.",rżnąć, pot. grać
 Wczoraj rżnąłem w gry na komputerze przez cały dzień.,rżnąć, pot. grać
" Nauczycielka przyłapała mnie, jak rżnąłem odpowiedzi na sprawdzianie.",rżnąć," pot. odpisywać zadanie, ściągać odpowiedzi"
 Sąsiad rżnie się z sąsiadką.,rżnąć, wulg. uprawiać seks
" Pożycz złotówę na bilet, bo nie mam jak do domu wrócić.",złotówa, zgrub. złotówka
" Mam znajomego złotówę i stwierdził, że oni nic złego nie robią, zatrzymując się, gdzie im się podoba. (z Internetu)",złotówa, slang. taksówkarz
" Krysia z Hanką to towarzystwo wzajemnej adoracji. Jak jedna coś powie, to druga zaraz przytaknie.",towarzystwo wzajemnej adoracji," iron. grupa osób popierających się nawzajem, prawiących sobie wzajemnie komplementy[1]"
" Wyciągnąłeś dość sensowne wnioski, ale nie zrozumiałeś podstawowego założenia, więc można je o kant dupy potłuc.",o kant dupy potłuc," wulg. o pojęciu lub obiekcie, które można wyrzucić, zignorować, ze względu na niską wartość lub brak wartości"
 Te statystyki można o kant dupy potłuc. Nijak mają się do rzeczywistości.,o kant dupy potłuc," wulg. o pojęciu lub obiekcie, które można wyrzucić, zignorować, ze względu na niską wartość lub brak wartości"
 O kant dupy potłuc takie beznadziejne rady!,o kant dupy potłuc," wulg. o pojęciu lub obiekcie, które można wyrzucić, zignorować, ze względu na niską wartość lub brak wartości"
" Nie mogę do ciebie teraz wpaść, bo jestem u cioci na zadupiu.",zadupie," pot. grub. miasteczko ze słabo rozwiniętą komunikacją, handlem itp."
" Mieścina, z której pochodzę, to straszne zadupie.",zadupie," pot. grub. miasteczko ze słabo rozwiniętą komunikacją, handlem itp."
" Nie chcę być postrzegana jako świętojebliwa, ale do wiary podchodzę poważnie - wyznaje nawrócona skandalistka.[1]",świętojebliwy," wulg. żart. dewocyjny, nadmiernie pobożny"
" Dlatego do szatni, gdzie przebierał się kierownik, pomaszerował jego największy przydupas[2].",przydupas,
 Dziś wydanie pozwolenia na budowę urzędas może sobie wydłużać pod różnymi pretekstami.[1],urzędas, pot. pogard. urzędnik
" Uważają, że to nie ubek Iksiński ich skrzywdził, lecz władza państwa, którego obywatelami byli i są…[2]",ubek, pot. pogard. funkcjonariusz Urzędu Bezpieczeństwa (UB); później także Służby Bezpieczeństwa
" „Co ty, kurwa, wiesz o zabijaniu?” – to zdanie byłego ubeka, Franza Maurera, odmieniane na dziesiątki sposobów (…) stało się ukochanym cytatem używanym przez młodzież przy lada okazji[3].",ubek, pot. pogard. funkcjonariusz Urzędu Bezpieczeństwa (UB); później także Służby Bezpieczeństwa
 Zamach przeprowadziła grupa fanatyków religijnych.,fanatyk, żarliwy zwolennik idei lub religii
 Arabusy otwierają największe lotnisko na świecie[1].,arabus, lekcew. Arab
 Od roku na śmieciówkach pracuję przy inwentaryzacjach w supermarketach.,śmieciówka, pot. krótkookresowa umowa cywilnoprawna o zatrudnienie za najniższą możliwą stawkę
 Ciocia Jadzia poczęstowała mnie i Tadzia pyszną śmieciówką na kapuście i boczku.,śmieciówka," kulin. pot. improwizowana zupa ze wszystkiego, co ma się pod ręką w kuchni"
" Moherowe berety okupywały plac, nie pozwalając przenieść krzyża.",moherowy beret, polit. pogard. osoba identyfikująca się z poglądami głoszonymi przez konserwatywny nurt polskiego katolicyzmu; zob. też moherowe berety w Wikipedii
 Moher na gablocie — git.[1],moher," futro, futerko"
 Życie czasem daje w kość i wszystko jest do dupy.,do dupy," wulg. o czymś lub kimś beznadziejnym, kiepskim"
 Do dupy z taką robotą!,do dupy," pot. wulg. beznadziejnie, fatalnie"
" Umyj się w końcu, brudasie.",brudas, pot. osoba niedbająca o higienę; czasem też przedmiot będący w niechlujnym stanie
 Ostatnio na straganach jest coraz więcej brudasów z podrabianymi towarami.,brudas, pogard. osoba o ciemnej karnacji
 Co weekend w parku spotykają się jakieś brudasy i chleją jabole.,brudas, pogard. slang. osoba należąca do subkultury metalowej lub punkowej
 Sekretarka dała dupy chyba każdemu w firmie.,dawać dupy, wulg. o kobiecie: odbywać stosunki seksualne z mężczyznami[1]
 On w pierdlu dawał dupy każdemu.,dawać dupy, wulg. o mężczyźnie: pozwalać penetrować się doodbytniczo innemu mężczyźnie
 Ale dałem dupy! Te akcje są dziś dużo tańsze!,dawać dupy, wulg. nie wykonywać powierzonego zadania; psuć coś; dawać się oszukać
" Tuż nad ranem potrafił przysłuchiwać się oddechowi miasta z butelką piwa w ręku, na piętrze u Freda, gapiąc się na rażące neony z naprzeciwka, skąpo oświetloną Norderstraat i tramwaje zmierzające do pętli[1].",razić," o świetle: drażnić oczy nadmierną jasnością, jaskrawością"
 Policjanci 13 razy razili zatrzymanego paralizatorem[2].,razić, atakować za pomocą jakiejś broni
 Razi mnie twój brak poszanowania tradycji.,razić," wzbudzać nieprzyjemne uczucie, powodować negatywne odczucia"
 Sejmowa wierchuszka przyznała sobie wielkie premie.[2],wierchuszka," pot. grupa ludzi sprawujących władzę w państwie, jakiejś organizacji, instytucji[1]"
 Z niego jest straszny gbur – wchodząc nie powiedział nawet „Dzień dobry”.,gbur," pogard. człowiek opryskliwy, nieobyty towarzysko"
" Prawdziwy kibol to taki szplin, co cołki tydzień będzie wcinał ino skibki z gzikiem i ślepe ryby. Za uszperane bejmy zaś kupi bilet na Kolejorza[2].",kibol, reg. pozn. kibic[1]
" Przyszłem ździebko do rozumu, patrzę, a tu Helci nie ma. Poszła precz. Wylynga nie kibol![3]",kibol, reg. pozn. kibic[1]
 Kibole znów zrobili zadymę na meczu.,kibol," pot. pejor. kibic, fanatyk jakiejś drużyny, często zachowujący się agresywnie, chuligan stadionowy"
 W poradnikowych tekstach dla kibiców wybierających się nad Wisłę przestrzega się więc szczególnie przed tutejszymi kibolami[4].,kibol," pot. pejor. kibic, fanatyk jakiejś drużyny, często zachowujący się agresywnie, chuligan stadionowy"
" Jeszcze chwila i stracimy cierpliwość, paszoł won debilu!",paszoł won,
 Konie pasące się na łące rżały radośnie.,rżeć, o koniu: wydawać charakterystyczny głos
" Widzowie widząc nieporadność prezentera, rżeli z uciechy.",rżeć," przen. pot. śmiać się głośno, hałaśliwie"
 Okrutna twa macocha na ołtarzach wiary,bezbożny," pejor. rel. niemiły Bogu, sprzeczny z przykazaniami Boga"
,bezbożny,
" Leninowskie idee są nie do pogodzenia z reformizmem, oportunizmem, lewactwem i innymi przejawami wrogich marksizmowi tendencji.[1]",lewactwo, polit. pogard. poglądy skrajnie lewicowe
 Ten gówniarz znowu narozrabiał!,gówniarz," wulg. pogard. dziecko, chłopiec"
" Nie uwierzysz, Adam wylądował w psychiatryku!",psychiatryk, pot. pejor. szpital psychiatryczny
" Myślałam, że to będzie ciekawy program, a to same pierdoły.",pierdoły," pot. posp. rzeczy mało ważne, głupstwa, dyrdymałki, bzdury[1][2]; zob. pierdoła"
 Znasz najnowsze pierdoły o naszym wójcie?,pierdoły," pot. posp. plotki, wieści[2]; zob. pierdoła"
" Nie przejmuj się tymi pierdołami, pogadają i zapomną.",pierdoły," pot. posp. plotki, wieści[2]; zob. pierdoła"
" Mamy nie ma w domu, poszła do sąsiadki na pierdoły.",pierdoły," pot. posp. pogaduchy, plotkowanie[2]"
 Zaraz mnie kurwica weźmie!,kurwica, wulg. określenie zdenerwowania i wściekłości
 W tym domu można dostać kurwicy.,kurwica, wulg. określenie zdenerwowania i wściekłości
 Dzisiaj od rana piździ deszczem bez przerwy.,piździć," wulg. padać (o deszczu, śniegu)"
 Co tutaj tak piździ?,piździć, wulg. śmierdzieć
" Zamknij okno, bo już piździ zimnem.",piździć, wulg. być lub wiać (zwykle o cieple lub zimnie)
" Ten koleś to niezły janusz, odkurzaczem chciał posprzątać rozlaną wodę.",janusz," slang. pejor. o osobie niekompetentnej, nieznającej się na rzeczy"
 Uporczywa nagonka propagandowa na kułaków miała uzasadniać brutalną rozprawę z nimi.[1],kułak, hist. pogard. majętny chłop tępiony przez władzę radziecką; zob. też kułak w Wikipedii
" Ona znów cię oszukała, a ty wciąż z nią jesteś. Tyś się z chujem na łby pozamieniał!",pozamieniać się z chujem na łby," wulg. o mężczyźnie myśleć, działać nierozsądnie pod wpływem motywacji seksualnych"
" Wziąłem na fakturę więc stówę mniej, ale i tak dojebali taką cenę, że chyba ktoś się z chujem na łby pozamieniał.[1]",pozamieniać się z chujem na łby, wulg. o mężczyźnie zgłupieć
 Ten fryzjer partacz zrobił mi schodki z tyłu głowy.,partacz," pot. zły pracownik lub rzemieślnik; osoba źle (niedbale, niechlujnie) wykonująca pracę"
" Pewna profesor nazwała ostatnio jednego z dziennikarzy hejterem, nawiązując do jego młodzieńczej działalności.",hejter," slang. w Internecie: osoba, która krytykuje coś lub kogoś w bezwzględny sposób, najczęściej anonimowo lub pod pseudonimem[1]"
 Szkodliwa urawniłowka gwarancji depozytów[1],urawniłowka," rozpodobnienie, dysymilacja"
" Tata mówił, że kupi nam komputer, ale to tylko obiecanki cacanki, bo powtarza to już od pół roku.",obiecanki cacanki," gruszki na wierzbie, czek bez pokrycia, bajery-rowery, baju, baju, baj, baju"
" No i czaisz, gość dupczył jego żonę, to dostał w mordę.",dupczyć, wulg. uprawiać z kimś seks (jako strona aktywna)
 Jaś dupczy się z Małgosią.,dupczyć, wulg. uprawiać seks
 Coś mi się dupczy w telefonie.,dupczyć," wulg. psuć się, źle działać"
" Babka wiedziała, że sąsiadka ukrywała żydka, który nie poszedł do getta.",żydek, pogard. lub żart. o wyznawcy judaizmu
 Dziewczynka miała garść żydków i zaczęła nimi karmić wiewiórkę.,żydek, pot. arachid
 Mama przez pół godziny opierdalała mnie za bałagan w pokoju.,opierdalać, wulg. besztać
" Karol zawsze opierdalał talerz ziemniaków w pięć minut, a dziś coś mu wyraźnie nie podchodziło.",opierdalać," wulg. czyścić, opróżniać"
 Ktoś mi opierdolił piwnicę.,opierdalać, wulg. rzad. okradać[1]
 Opierdoliłem całą bułę z makiem.,opierdalać, wulg. zjadać[1]
 Kaśka opierdoliła mnie na krótko.,opierdalać, wulg. strzyc[1]
 Mam lenia i opierdalam się dziś od rana do wieczora.,opierdalać," wulg. leniuchować, wymigiwać się od pracy[1]"
" Marek wstał z biurka i opierdolił sekretarkę, która dopiero teraz przyniosła kawę i kanapki[1].",opierdolić, aspekt dokonany od: opierdalać
" Za kogo ty się, gnoju, uważasz, co?!",gnój," pejor. obraź. podstępny, złośliwy lub wredny mężczyzna"
" Jeżeli wykroczeniem została wyrządzona szkoda w mieniu, warunkowe zawieszenie wykonania kary może być orzeczone tylko wtedy, gdy szkoda została w całości naprawiona[1].",wyrządzić, aspekt dokonany od: wyrządzać
 Tak ślepo się zakochał!,ślepo, ślepo słuchać • ślepo wykonywać rozkazy / polecenia
" Jak żyję i jestem myśliwym, takiej ćmy diabelskiej wilków zebranej razem nie widziałem nigdy; ślepia ich błyszczały w gęstej puszczy, jakby gwiazdy rzucone z czarną chmurą na ziemię[2].",ślepie, oko zwierzęcia[1]
 Nie interesuje mnie praca na etacie do usranej śmierci.[2],do usranej śmierci,
